"add","shift","delete"
11,108,9
3,108,8
6,113,5
7,121,9
5,99,2
11,99,9
7,111,7
7,111,15
9,104,13
8,110,6
13,106,7
12,105,13
7,106,8
8,101,12
7,101,8
7,114,10
4,100,2
9,113,7
7,97,7
11,98,8
3,109,7
11,97,6
9,106,9
6,90,11
5,100,10
6,99,6
3,94,6
5,98,3
8,97,6
10,105,4
5,102,10
13,101,7
3,115,6
12,103,7
6,95,11
6,110,5
9,93,11
11,90,13
15,101,7
7,92,9
9,110,6
10,91,9
16,93,11
9,97,14
5,98,9
16,97,6
12,105,10
12,103,7
10,110,12
10,107,17
13,103,7
8,126,12
6,105,12
7,98,12
8,91,6
5,90,7
8,100,6
6,103,7
9,101,4
15,93,12
12,97,12
11,101,9
9,92,15
12,112,9
6,109,12
11,110,8
11,103,6
10,99,6
10,99,13
9,114,13
8,100,11
4,93,6
8,104,6
7,101,9
9,94,7
2,88,14
5,102,4
6,93,9
9,94,5
8,98,6
8,86,7
5,98,6
8,95,5
4,89,8
8,90,4
4,91,8
5,109,5
7,108,3
4,94,8
11,113,5
13,100,9
9,113,10
13,98,13
8,111,10
8,105,5
9,113,11
11,112,6
5,106,10
4,102,7
7,107,6
10,108,4
11,115,8
6,108,13
6,103,9
7,91,9
7,92,8
10,92,5
11,113,6
6,104,6
8,107,11
5,97,7
8,89,7
6,103,8
10,109,5
7,93,9
8,107,13
5,103,9
9,90,10
10,103,10
7,111,4
8,90,6
6,118,9
8,104,5
9,106,7
9,98,4
9,112,5
17,110,15
10,112,11
10,102,9
12,107,12
12,118,12
10,101,13
7,90,13
6,101,11
10,106,5
11,104,10
3,107,5
7,93,8
9,103,10
6,100,9
9,106,5
16,94,7
14,113,8
12,107,10
7,106,10
8,114,7
10,109,12
8,102,12
9,110,10
10,111,11
9,100,12
6,107,8
10,93,11
10,108,7
6,101,8
6,100,12
7,99,7
9,94,6
11,93,7
9,110,11
9,109,10
11,90,10
8,97,8
8,100,11
2,98,6
8,111,7
5,110,7
4,110,3
6,105,3
10,99,9
4,107,8
6,103,4
7,109,5
10,92,9
7,97,10
8,93,6
7,96,4
13,101,8
6,104,8
7,109,11
8,104,7
13,94,9
15,122,10
6,112,13
11,104,8
8,109,5
8,104,5
5,105,9
9,103,12
9,111,10
4,97,10
17,90,11
5,110,13
8,103,7
9,98,4
7,99,8
10,117,6
9,109,8
13,101,6
9,97,16
7,99,6
10,102,7
5,101,12
6,106,7
4,96,9
5,103,5
4,96,9
6,108,7
4,109,3
9,100,4
2,88,7
10,107,3
9,109,7
5,92,13
8,97,7
5,100,8
9,96,6
10,105,4
11,114,10
5,95,9
4,107,3
7,101,9
15,97,10
7,109,4
8,117,11
6,106,8
10,90,7
12,96,10
11,99,7
8,98,11
12,112,12
10,94,10
11,114,10
7,116,10
5,98,8
11,107,7
8,108,9
5,109,8
8,98,7
8,102,12
7,98,10
3,105,6
7,92,4
9,105,9
12,93,9
9,108,11
4,103,6
11,96,4
5,103,8
8,104,6
7,104,8
16,103,9
6,106,11
14,115,7
6,107,6
11,98,9
8,107,13
7,101,8
10,94,12
17,105,12
15,107,6
9,106,7
12,106,12
15,91,14
14,97,12
14,114,15
7,103,12
8,103,10
10,99,9
9,110,12
9,95,11
4,95,9
8,104,9
15,103,7
9,100,14
7,101,7
5,108,5
8,109,5
15,93,11
4,111,9
4,104,15
7,102,6
2,95,8
7,104,2
3,112,7
6,106,8
9,95,6
8,111,7
7,109,6
6,98,8
9,91,4
7,105,5
10,103,5
10,103,11
7,101,10
4,101,11
10,97,7
12,103,8
9,108,5
8,113,4
7,92,14
8,98,4
4,106,11
10,88,8
3,93,6
7,108,8
13,104,4
9,100,11
10,104,14
13,101,13
7,117,4
10,107,18
9,98,6
7,83,6
5,97,9
9,96,9
9,105,9
5,106,7
10,109,3
10,114,5
11,102,12
8,110,11
9,99,4
6,106,16
7,103,4
4,103,7
6,95,9
6,101,7
6,105,5
5,96,4
7,106,6
8,94,5
6,113,6
9,97,7
9,108,7
5,111,8
7,100,10
5,108,7
16,112,5
5,99,7
