"add","shift","delete"
11,53,21
14,63,15
17,56,19
14,56,15
17,55,10
17,66,16
15,52,11
17,49,15
21,55,13
17,42,22
22,44,17
15,49,21
13,56,15
22,49,17
15,53,15
11,48,19
21,42,18
16,53,10
17,49,27
10,59,15
20,49,14
15,44,16
20,40,19
13,51,18
19,50,15
17,46,16
19,56,22
13,59,12
16,52,20
16,45,20
11,67,13
16,56,16
14,55,16
21,52,15
6,57,15
19,57,11
24,55,15
15,51,15
20,50,19
18,56,14
15,54,20
8,57,13
18,54,17
15,53,16
16,57,12
12,67,14
15,57,9
14,58,15
19,58,18
28,52,16
23,50,17
20,50,24
20,51,21
21,48,21
21,46,19
18,53,19
23,52,26
16,65,20
18,60,21
15,50,22
15,55,10
11,58,17
19,53,11
18,50,19
16,50,16
13,58,14
16,60,14
17,53,16
12,54,22
11,60,15
10,60,13
15,54,15
16,55,8
20,58,16
11,58,25
18,62,15
7,62,11
14,47,15
13,66,8
13,60,16
17,51,12
14,61,11
14,55,19
9,55,17
15,51,17
13,52,14
13,52,11
6,58,15
14,63,7
9,54,13
17,53,10
12,60,11
12,60,14
15,57,11
20,53,12
18,50,14
15,49,15
9,61,9
12,58,14
10,55,16
19,54,10
13,55,22
13,58,7
14,51,15
19,48,15
13,63,17
17,59,15
14,56,18
12,62,10
13,67,16
13,56,11
15,54,17
18,50,13
9,54,19
18,47,14
7,57,15
21,44,14
11,60,16
14,54,13
6,55,16
15,54,15
16,48,10
12,61,12
13,47,13
8,59,14
19,50,15
7,54,12
16,52,9
9,50,16
8,56,15
9,63,9
18,52,7
10,61,13
12,50,11
13,53,11
11,53,12
15,51,14
7,59,11
13,54,15
12,53,8
12,72,5
14,57,8
14,55,10
13,66,16
21,61,8
16,57,23
13,46,17
16,47,9
14,46,21
18,59,14
23,53,12
11,58,17
11,53,15
24,56,16
16,47,22
16,43,20
14,58,13
14,50,18
15,51,14
9,62,13
12,57,12
19,52,17
17,62,6
17,49,21
13,61,19
11,51,15
17,60,19
10,50,16
12,59,10
13,54,13
13,67,8
15,61,10
11,51,16
12,56,11
16,55,12
6,49,18
12,52,10
15,50,19
11,51,10
18,57,10
17,55,12
11,61,11
5,62,18
14,54,10
17,54,10
11,50,13
7,51,16
10,58,13
14,47,10
7,54,8
19,48,10
20,53,16
12,52,13
15,48,15
20,51,18
17,58,14
17,44,21
7,56,17
9,51,10
7,61,14
16,46,13
14,52,11
10,52,7
15,56,9
11,57,15
14,51,17
18,51,10
15,64,13
13,55,13
10,61,14
17,63,17
16,45,19
10,64,10
16,61,9
13,51,16
17,57,16
16,49,8
15,54,20
15,58,15
20,56,12
14,61,21
19,46,17
23,47,19
18,49,19
15,56,12
17,52,22
13,55,15
14,60,18
16,58,18
5,53,17
9,65,15
8,56,8
9,57,8
11,50,10
11,58,12
14,50,13
9,53,9
13,55,11
8,58,10
9,56,9
12,54,11
18,48,10
16,48,14
10,55,13
11,64,13
10,57,10
6,60,10
5,60,11
8,55,11
11,56,8
17,50,12
15,45,13
7,61,10
18,52,7
16,58,13
15,56,17
9,57,11
17,44,15
16,43,22
12,46,14
18,59,5
8,61,15
16,54,7
11,61,8
16,46,15
16,58,14
11,54,16
17,43,19
20,40,21
23,37,14
14,52,15
20,46,14
17,48,18
24,44,21
15,52,21
15,53,20
11,45,13
12,57,12
16,55,18
17,44,13
11,52,14
21,53,21
10,60,8
11,51,11
16,49,15
12,56,17
22,56,16
15,52,21
24,54,15
16,58,12
13,48,23
18,48,11
12,52,20
8,51,17
10,56,12
13,49,11
15,55,14
13,57,12
14,49,17
10,62,18
6,64,12
15,55,7
13,50,14
15,55,11
15,58,12
11,58,10
11,44,15
16,52,5
5,49,15
11,55,10
20,51,9
10,60,18
15,44,19
8,56,18
10,62,10
6,57,9
14,48,12
12,53,10
9,50,12
19,54,9
16,60,11
6,60,12
15,62,9
21,53,13
16,56,13
19,51,19
14,58,13
12,59,15
8,46,18
11,49,15
14,56,12
8,49,19
13,49,8
12,54,13
16,61,10
18,49,15
12,45,22
13,53,8
15,49,12
11,53,10
19,55,16
14,53,15
6,55,14
16,50,10
11,63,11
19,54,11
9,53,15
15,58,16
5,58,15
11,53,14
14,51,8
6,56,9
8,53,14
14,50,6
12,64,6
18,63,8
15,55,13
13,59,13
11,67,12
15,43,14
13,48,12
7,48,14
14,57,13
11,58,16
12,52,9
14,53,10
15,52,14
11,49,15
10,48,16
7,55,13
15,65,11
15,63,13
18,57,11
12,57,16
14,44,14
15,58,13
12,65,11
19,51,17
18,47,9
17,52,12
17,40,19
11,62,19
16,58,12
18,45,15
20,52,12
18,47,18
25,64,14
18,55,19
14,59,19
9,59,13
24,49,17
23,45,16
13,52,22
19,61,19
15,52,19
10,68,10
20,57,17
11,44,25
17,51,13
12,69,12
15,55,17
11,54,17
12,54,14
14,53,11
21,49,15
15,54,15
16,53,18
11,58,18
14,52,11
22,46,17
21,49,14
8,56,20
15,54,10
18,63,11
10,47,20
11,56,11
9,47,16
7,53,14
16,51,13
19,60,13
17,49,14
19,45,18
21,55,17
13,60,17
20,61,13
24,57,15
13,45,20
14,50,23
16,59,17
17,46,17
13,50,13
16,59,12
11,55,13
12,59,17
15,56,17
13,66,12
13,48,11
19,54,12
13,52,14
9,59,16
14,64,12
18,51,15
18,49,17
11,56,18
11,64,9
12,54,12
9,62,12
23,46,15
17,54,13
15,60,13
16,50,19
18,53,20
17,54,17
6,56,18
14,40,20
14,50,15
17,56,13
21,52,15
18,54,12
14,66,13
9,58,19
15,51,15
11,60,13
11,57,14
8,55,14
12,59,7
16,55,11
6,53,15
11,46,6
14,58,9
15,48,12
13,45,17
17,50,14
12,49,14
14,52,13
14,50,17
19,54,12
15,56,14
16,51,11
19,50,16
7,68,19
17,61,9
13,55,15
16,58,18
10,52,17
13,46,11
6,56,12
16,45,10
10,52,17
8,61,10
8,55,12
12,47,13
15,49,7
15,48,15
19,46,19
4,56,13
11,52,9
13,47,16
17,51,11
13,49,6
20,49,10
16,58,11
18,43,16
19,52,21
14,48,18
12,48,19
9,54,13
18,48,15
13,55,11
9,53,17
14,52,11
14,57,16
9,50,11
10,51,6
17,51,12
16,56,12
16,53,10
16,50,19
9,55,14
13,54,14
11,54,16
8,64,12
15,48,12
15,60,9
24,64,10
18,58,15
11,65,15
18,50,24
9,67,12
10,51,17
12,54,13
12,51,11
23,52,15
24,59,13
21,48,16
11,56,23
12,52,25
11,47,10
14,57,18
20,54,10
8,57,17
22,51,14
11,56,18
15,51,17
15,51,16
14,47,12
10,45,15
17,48,10
16,51,18
18,58,12
8,61,11
18,48,15
12,42,18
13,60,10
10,51,16
17,51,18
16,54,13
14,54,14
13,52,11
11,53,13
10,59,7
16,60,15
13,65,17
17,48,11
14,50,14
17,48,14
13,63,18
19,59,9
11,53,12
13,56,13
18,55,13
21,57,14
10,51,26
10,52,17
13,52,12
18,40,18
10,53,10
16,67,15
18,54,17
12,57,10
16,56,18
6,60,12
13,42,18
15,52,11
19,52,11
12,51,18
16,49,17
12,60,13
19,45,14
12,53,16
16,49,12
9,52,15
17,55,8
16,44,19
13,51,13
13,47,17
12,50,14
20,50,8
8,60,16
19,47,14
13,61,11
8,51,12
