"add","shift","delete"
13,35,16
16,38,11
13,42,15
15,37,13
17,40,10
11,46,14
11,39,18
12,40,16
18,36,16
16,32,17
12,37,15
13,37,12
11,43,14
18,33,17
14,42,12
16,40,8
18,33,14
9,42,17
21,34,16
16,38,11
17,37,16
16,39,15
19,33,19
10,37,14
14,40,16
17,28,18
11,39,17
11,44,11
13,38,13
15,34,15
15,49,10
14,34,20
10,35,13
12,43,12
13,29,18
13,33,10
18,39,14
8,41,11
13,37,12
21,42,8
16,36,11
19,38,9
7,42,15
20,30,14
23,32,12
10,37,22
14,39,13
11,35,14
18,37,15
19,38,12
12,39,21
13,42,14
18,35,13
19,35,15
12,43,20
14,43,12
16,37,19
16,36,15
23,38,15
15,46,18
11,38,19
17,33,17
13,33,15
12,36,9
12,37,11
15,40,13
12,38,17
14,32,16
16,33,16
18,37,13
21,41,15
18,32,19
13,41,18
17,39,14
16,29,18
20,41,11
12,32,17
13,38,19
17,38,18
16,35,23
12,40,15
23,36,14
17,42,10
22,38,16
14,40,15
14,42,13
19,41,9
14,39,18
11,39,16
15,37,18
14,41,14
13,36,17
21,39,13
19,39,12
16,39,16
10,41,18
17,40,9
16,44,11
16,28,15
27,30,18
13,43,16
11,37,23
16,38,13
12,41,18
14,44,16
16,43,17
21,33,18
18,40,16
18,33,17
9,36,21
13,41,17
22,35,14
24,33,17
17,46,10
16,35,14
13,40,17
9,48,17
17,33,17
13,42,15
15,47,15
22,42,10
12,38,16
15,35,16
19,29,19
16,42,13
13,42,18
13,31,15
9,41,19
16,30,20
16,36,12
12,32,16
8,39,20
18,34,13
16,40,9
18,43,13
17,39,16
18,36,14
18,38,21
14,53,11
23,35,12
23,33,17
13,42,21
9,43,14
24,35,16
14,40,16
21,40,9
13,38,18
23,34,14
18,33,23
16,42,15
13,38,21
14,32,17
17,38,17
14,51,11
14,37,20
19,44,11
15,44,19
19,25,22
16,43,15
6,43,22
12,44,9
14,37,18
17,37,14
14,46,8
18,29,19
5,47,14
20,40,14
12,35,18
22,39,14
19,42,10
20,33,16
17,36,18
12,35,22
15,44,16
18,37,18
20,33,18
16,44,10
29,34,12
19,32,18
15,32,17
17,35,17
15,44,15
21,31,18
14,37,16
18,38,18
16,41,15
14,35,20
16,41,14
19,33,15
19,41,18
14,35,17
7,45,19
16,36,17
14,37,17
19,33,18
20,33,13
14,33,16
17,38,14
19,33,12
14,46,16
19,41,18
19,36,21
19,33,13
18,34,13
9,42,19
17,38,20
18,29,22
15,37,20
17,40,10
19,37,17
21,39,20
13,41,16
11,35,21
14,40,19
14,46,13
18,26,18
14,35,18
10,41,12
17,42,15
7,50,17
16,40,13
15,45,15
15,28,22
18,33,15
20,35,15
21,39,16
21,38,13
17,42,19
13,47,14
15,41,15
16,38,23
13,39,17
18,36,15
16,29,16
17,31,21
13,40,16
12,40,18
13,47,10
10,33,19
18,30,18
19,36,19
11,41,20
19,42,14
12,35,23
14,36,13
18,39,16
12,37,18
14,37,14
18,36,8
17,36,12
18,40,12
14,34,18
18,37,13
9,45,13
15,38,16
19,26,15
14,46,10
13,35,13
20,40,7
18,34,15
15,43,16
18,35,14
19,34,15
17,31,15
17,41,20
13,40,18
18,36,16
15,43,11
13,33,18
18,41,11
13,40,17
16,45,9
22,38,11
16,33,18
14,40,17
22,35,17
14,37,23
17,37,14
20,40,13
16,39,19
15,39,26
14,43,15
22,37,17
13,43,13
17,30,16
13,40,15
14,36,22
16,39,23
16,39,19
18,42,13
14,35,23
14,36,17
13,39,17
19,33,16
14,35,16
19,30,22
18,42,14
14,38,14
10,41,18
17,38,16
18,30,11
12,41,14
17,39,8
20,36,18
12,34,22
16,43,16
17,33,17
12,43,14
21,36,13
14,37,12
17,44,16
14,37,19
14,48,16
16,37,19
17,29,18
18,37,17
12,43,19
13,42,16
17,43,10
14,39,16
14,47,7
12,45,10
14,40,20
10,38,17
13,44,11
16,35,17
17,33,18
13,34,15
12,36,15
15,36,19
7,48,13
18,34,12
20,42,16
15,41,12
19,27,19
13,43,11
19,33,9
11,31,24
12,50,12
11,43,16
16,35,15
20,40,14
14,43,12
13,31,19
21,33,17
15,46,11
16,35,10
14,37,15
19,39,15
19,41,16
22,27,15
10,44,20
15,32,19
19,45,12
15,36,12
17,37,17
9,53,11
13,34,17
18,40,14
13,39,16
13,34,15
19,38,13
11,39,17
18,34,16
14,42,13
13,38,11
16,36,21
17,31,18
18,31,15
10,41,21
20,45,10
14,36,18
12,38,20
16,30,12
17,32,20
11,50,11
14,34,18
16,40,15
12,35,17
18,37,10
16,40,14
13,38,17
15,41,14
14,43,13
13,32,16
15,37,17
14,37,11
19,41,16
15,40,15
12,39,20
9,43,19
11,52,7
14,41,13
14,35,17
15,47,7
12,46,12
12,39,13
13,36,17
9,39,17
13,37,10
15,46,14
17,42,15
15,33,12
14,42,13
13,44,12
21,41,10
16,35,17
13,46,9
10,26,16
12,40,17
21,41,9
14,36,16
15,42,10
15,44,11
20,33,12
11,39,22
23,38,14
14,42,19
13,46,13
16,31,17
14,34,15
21,34,16
10,41,18
10,36,13
16,40,11
18,33,7
15,29,14
15,32,26
16,36,16
13,39,18
17,37,16
15,36,10
19,40,12
22,35,12
13,43,18
15,42,16
17,35,15
13,35,21
16,36,13
17,44,18
18,38,13
17,41,14
20,41,22
12,40,19
17,45,12
16,32,24
14,37,16
