"add","shift","delete"
17,97,14
19,97,16
18,100,17
21,88,21
17,104,16
23,99,18
19,92,21
12,109,15
15,99,19
22,90,16
21,82,24
23,104,15
12,113,16
19,101,13
12,103,24
23,79,15
12,104,10
24,100,15
19,103,26
19,90,18
16,102,20
17,96,16
24,108,20
22,104,25
21,94,19
20,108,17
17,97,19
11,103,20
21,86,19
16,98,21
12,93,21
14,108,11
16,83,14
14,107,15
15,107,16
11,91,20
12,104,9
16,104,13
18,96,11
21,90,15
22,99,17
21,91,22
18,104,15
14,97,27
14,88,18
17,100,14
13,88,17
12,117,16
17,101,15
15,99,15
15,94,11
11,104,15
20,93,13
18,99,14
13,94,15
19,88,8
25,105,17
26,90,25
20,104,13
24,107,25
17,111,26
16,110,20
16,101,19
18,97,18
22,91,24
10,103,15
18,95,18
19,98,16
23,93,18
22,92,26
16,92,22
14,88,20
20,104,13
14,94,15
20,94,17
12,108,16
24,108,9
12,100,29
17,102,15
14,96,12
5,103,20
12,115,16
14,110,10
19,97,9
21,102,20
19,102,15
19,102,15
11,90,17
14,96,17
24,89,15
24,98,19
16,101,20
25,108,15
23,95,20
16,101,20
23,91,21
13,97,22
18,112,14
15,101,23
17,101,17
11,105,20
8,106,16
25,95,16
9,105,12
13,102,15
15,92,12
20,103,11
23,101,9
24,102,20
21,92,18
20,106,14
20,104,20
27,99,23
19,98,21
31,94,25
23,82,33
21,102,24
31,109,19
30,94,29
17,99,21
15,108,28
10,97,22
25,97,22
20,101,23
27,102,15
26,100,19
17,109,25
16,107,15
29,105,26
17,102,18
18,84,24
27,102,23
16,107,17
22,96,17
22,94,22
22,99,24
19,98,24
16,102,16
18,109,28
22,97,17
17,94,17
19,96,20
14,94,25
24,96,14
24,93,22
8,83,23
16,102,12
20,97,20
10,96,24
11,98,17
13,104,12
15,92,16
17,100,8
19,101,12
15,96,18
9,102,17
19,99,15
14,105,14
18,93,17
22,104,14
22,91,16
26,93,14
24,87,26
16,98,21
16,94,22
9,103,22
18,102,13
18,94,20
22,99,20
12,102,16
17,112,17
24,100,13
17,99,13
18,102,17
27,91,18
17,106,24
26,91,20
14,113,16
22,100,28
22,94,18
17,95,15
16,89,17
27,103,23
20,99,31
19,91,18
22,94,18
15,92,21
23,95,17
26,96,17
21,105,19
22,113,21
17,99,21
19,95,33
10,92,21
17,87,16
23,93,13
12,93,25
13,102,15
19,102,12
9,108,13
13,115,15
16,98,12
20,99,15
17,97,25
14,105,12
10,105,21
16,97,8
13,107,18
16,88,11
12,113,11
15,98,12
26,92,21
22,111,18
19,99,22
22,100,15
22,96,21
21,91,17
25,94,34
15,104,19
13,89,13
14,92,22
13,93,16
19,86,15
12,95,20
14,91,12
12,102,16
14,103,11
10,87,14
14,100,10
7,95,15
14,91,10
15,92,11
7,105,12
20,98,11
16,93,14
16,100,16
14,111,13
16,98,13
14,102,9
19,105,16
24,96,17
22,96,20
24,101,16
16,97,25
10,112,20
18,105,12
14,100,16
26,97,18
20,104,20
22,103,20
20,101,25
17,96,19
17,106,16
23,101,20
30,96,19
24,118,20
19,108,21
19,108,23
17,97,29
19,98,11
25,100,23
29,84,22
23,91,22
14,98,11
19,118,19
14,111,21
29,110,15
22,102,24
22,106,25
19,95,26
24,98,21
17,108,26
24,105,15
34,119,18
20,96,32
23,97,26
16,117,20
22,99,28
24,115,16
22,93,25
10,105,27
26,100,20
20,104,21
17,118,18
20,110,19
24,104,23
27,107,16
19,96,24
24,94,24
21,106,21
22,113,25
20,100,20
20,97,23
19,101,24
24,90,16
21,102,25
20,101,17
15,100,22
24,106,19
20,114,19
25,103,24
19,104,17
18,114,17
21,117,16
23,102,31
15,109,21
13,94,20
18,107,12
13,103,20
19,98,16
14,104,15
24,95,21
23,90,18
22,91,21
22,92,20
24,89,15
32,94,33
25,96,18
15,104,25
15,100,29
22,88,16
16,98,18
13,94,17
20,95,18
15,90,17
16,100,24
16,90,13
17,107,13
25,106,20
17,98,17
18,83,23
21,86,21
20,99,14
15,108,17
17,86,17
14,89,24
19,104,19
20,94,23
18,104,18
17,94,14
7,93,19
13,100,12
14,97,14
20,94,10
18,98,21
15,102,15
21,92,18
20,95,19
11,109,15
17,101,15
6,96,15
20,96,10
25,90,16
13,105,18
18,91,16
13,102,19
16,87,20
23,97,20
20,104,16
17,76,14
20,97,14
17,98,13
17,97,19
12,96,22
18,100,16
25,81,24
23,102,22
21,101,15
19,86,27
24,99,15
19,96,20
20,90,20
28,102,17
18,101,26
17,104,19
24,89,21
33,101,20
31,110,27
16,94,29
21,95,17
18,109,26
19,102,18
20,103,22
25,102,24
23,97,21
25,96,28
22,91,19
17,106,22
14,79,22
21,96,21
11,103,15
18,98,12
23,95,20
19,102,20
15,91,22
20,110,9
17,107,20
13,105,13
21,111,18
25,103,22
18,97,19
26,88,23
21,107,20
15,99,24
19,102,22
20,103,21
32,95,16
23,96,25
18,105,28
26,96,16
14,101,23
17,98,17
18,94,27
24,97,18
19,99,16
26,105,18
26,105,23
28,106,19
22,108,28
22,104,24
23,104,27
23,92,23
13,113,20
22,100,16
16,101,17
20,95,22
14,104,19
14,101,15
15,111,19
18,101,19
19,102,20
18,103,17
20,102,15
19,101,14
30,100,23
20,93,25
24,107,24
24,108,20
20,94,18
15,98,21
27,95,22
11,111,24
16,93,20
16,101,24
18,95,15
17,92,15
10,95,13
17,95,18
18,84,17
19,106,12
