"add","shift","delete"
22,78,16
17,64,26
20,53,17
21,73,17
25,67,16
16,65,21
16,58,20
15,62,17
17,68,15
18,70,20
16,67,14
17,65,19
24,56,18
15,67,15
11,63,26
6,65,21
13,61,13
21,74,7
21,65,14
19,66,19
21,60,17
14,66,22
16,73,18
19,60,22
22,55,11
15,69,22
22,62,19
25,62,17
20,69,20
10,71,15
17,73,18
24,56,24
21,64,12
18,71,17
21,76,18
17,69,21
26,61,20
16,66,22
22,63,22
18,63,15
23,62,15
20,67,17
24,63,15
20,62,33
14,74,15
21,65,20
18,64,18
31,66,17
19,68,28
26,54,23
17,56,27
15,68,22
16,66,15
31,66,18
26,63,20
22,72,23
23,54,27
19,57,28
16,62,27
28,65,17
14,69,16
26,68,15
23,64,21
23,64,19
16,72,16
21,60,24
28,68,13
19,55,24
20,68,26
21,65,24
22,58,28
29,64,24
22,62,23
20,70,25
15,67,24
26,66,16
16,65,27
18,59,24
19,69,19
21,65,20
23,70,18
11,61,14
26,56,17
16,71,22
21,73,16
19,65,16
30,58,20
19,56,26
16,62,18
17,70,23
26,58,22
16,62,28
19,67,18
22,56,20
26,68,16
20,74,16
24,70,23
15,79,20
25,52,18
14,67,28
13,67,21
21,67,14
16,63,18
20,59,14
20,56,27
23,73,20
20,64,16
21,70,26
20,59,18
25,58,19
16,64,19
19,61,18
17,62,18
20,69,20
15,66,16
15,58,22
26,63,19
23,64,20
23,74,19
27,54,18
24,64,18
23,66,25
13,64,22
16,64,15
25,64,20
16,67,24
23,57,28
27,65,12
30,59,19
22,56,27
15,64,28
20,63,28
20,54,16
14,60,24
23,63,15
20,63,23
24,69,25
17,64,28
15,63,17
22,63,19
24,56,26
23,67,14
19,57,25
20,60,13
12,64,22
19,61,23
15,65,13
23,65,15
27,59,21
19,67,21
21,77,15
15,64,24
22,54,25
19,67,20
17,67,25
21,67,17
18,61,21
13,64,18
16,52,16
22,59,21
20,62,13
15,65,21
16,62,17
25,69,12
18,58,19
16,65,18
17,57,20
26,71,15
22,78,13
28,56,25
24,55,31
18,66,18
22,65,23
17,62,22
8,72,22
22,57,15
19,69,21
21,67,16
14,64,19
18,60,16
19,69,21
15,68,11
17,64,14
24,73,14
16,81,17
17,70,15
24,65,23
27,66,17
23,63,25
24,62,16
26,70,15
19,60,27
24,62,24
20,73,24
27,66,22
22,68,18
22,65,30
18,62,23
16,72,26
24,64,18
13,71,27
22,65,10
27,67,18
31,59,19
25,77,27
24,61,25
24,69,19
27,63,20
28,54,25
24,72,22
30,57,31
20,76,28
22,76,20
19,68,29
24,57,24
22,66,29
30,68,23
21,61,22
24,73,20
17,75,26
22,71,25
27,71,19
23,65,23
17,69,20
27,78,15
17,74,28
27,53,30
27,57,21
23,64,27
32,61,18
21,57,25
20,77,24
20,54,29
19,75,18
20,64,24
23,69,15
24,64,22
19,66,26
15,70,21
25,66,17
24,58,21
20,67,19
25,67,17
30,58,25
25,62,32
34,66,25
31,51,26
27,60,29
23,59,27
15,53,34
14,60,23
28,62,16
28,53,21
20,67,24
25,73,21
14,75,23
24,63,24
10,61,19
22,67,17
19,73,18
25,66,20
30,69,23
25,70,21
21,51,36
18,58,22
20,64,24
19,62,22
17,63,18
22,70,20
26,63,20
28,66,25
23,65,25
18,70,28
25,70,22
20,61,29
19,63,23
18,65,23
17,72,16
15,65,22
15,62,16
15,71,18
16,67,15
18,65,20
16,63,24
17,64,19
21,67,15
19,68,15
13,81,12
24,57,16
18,55,26
18,61,29
11,65,20
17,64,12
10,73,16
18,72,9
18,54,17
15,61,16
21,55,23
24,60,13
29,51,15
23,72,17
28,61,16
25,57,24
24,70,24
28,65,22
28,57,33
21,63,18
20,70,24
20,66,27
25,62,17
32,56,27
24,57,26
21,62,19
12,63,26
15,63,30
25,62,17
30,65,20
21,66,14
20,72,27
22,70,26
28,67,26
22,70,22
15,71,21
17,69,15
24,78,17
28,66,18
28,62,24
17,66,20
30,58,21
16,73,18
19,65,20
23,73,18
26,52,27
17,62,29
27,56,26
24,63,25
26,55,20
22,70,23
14,64,24
20,66,27
18,62,13
20,62,29
27,55,20
15,61,21
22,63,17
21,74,19
21,63,23
19,67,24
19,60,23
23,73,24
25,65,16
26,55,26
25,65,25
23,60,16
15,71,21
24,61,22
21,68,19
27,70,21
31,59,20
25,65,29
21,66,24
18,69,20
16,63,26
19,69,23
30,65,13
18,65,20
18,73,28
17,67,17
18,67,21
16,55,23
24,67,22
28,53,20
18,67,17
24,64,23
18,63,23
19,67,20
20,57,20
25,62,21
20,62,25
15,62,26
17,66,17
23,68,24
22,58,19
20,66,18
26,65,23
23,65,20
19,63,26
31,61,27
18,71,24
15,64,24
20,75,13
15,66,22
22,63,17
20,64,17
18,65,21
21,73,17
21,69,24
25,67,18
24,64,20
20,56,24
20,75,23
20,72,19
16,63,23
21,62,22
20,75,19
17,69,16
21,66,17
25,60,16
24,61,22
16,55,24
27,59,22
17,77,19
18,60,29
17,64,17
18,62,17
23,80,14
18,60,21
14,63,15
28,60,15
17,58,24
17,64,23
27,46,20
17,66,21
15,67,18
27,55,18
20,64,24
20,60,22
21,66,21
23,67,19
19,71,20
23,70,17
18,66,15
20,75,20
18,69,23
26,63,22
11,69,23
24,54,18
20,57,22
27,63,21
28,62,20
22,70,24
21,70,14
23,62,21
19,75,20
25,70,18
16,62,25
24,58,25
18,77,18
16,76,24
22,70,30
12,64,28
31,65,15
29,58,19
27,65,21
26,62,32
26,62,21
31,59,29
30,58,25
21,62,26
21,69,23
32,68,16
27,56,24
23,67,27
22,63,31
23,67,21
20,61,31
31,57,18
26,68,28
26,73,19
25,57,28
21,65,28
28,58,28
20,67,24
21,63,25
23,70,23
24,66,18
21,72,24
21,63,21
25,73,20
21,67,31
20,65,26
27,64,20
23,57,25
19,72,16
22,73,22
18,67,26
14,76,27
20,62,16
23,60,22
17,66,20
15,48,26
25,68,12
21,55,24
24,52,18
15,68,19
12,69,27
15,76,23
15,75,13
20,60,22
14,70,16
20,72,13
20,60,12
34,61,15
21,66,25
22,63,26
21,71,20
27,55,20
16,70,22
15,65,18
