"add","shift","delete"
19,85,8
11,85,19
17,85,15
14,88,12
14,79,10
10,75,21
14,88,10
15,88,17
10,85,8
17,69,16
19,89,22
21,85,16
19,81,21
21,76,20
14,79,13
22,70,17
10,86,13
12,78,15
7,95,12
15,78,16
8,82,13
11,93,11
9,91,11
10,91,15
12,81,7
6,92,7
12,86,12
9,80,15
10,76,11
6,82,9
5,77,8
8,80,7
9,86,2
12,84,6
13,78,9
12,80,12
12,91,14
18,82,8
24,73,17
16,79,12
21,91,20
11,81,11
10,91,19
14,77,19
18,73,11
10,85,15
20,85,14
17,88,13
14,77,21
12,82,15
16,93,9
14,76,20
21,84,14
16,93,14
15,81,10
18,86,20
16,72,19
13,84,11
12,77,21
14,83,10
19,80,18
14,87,16
6,79,21
14,66,5
13,87,14
9,87,12
18,68,5
17,77,16
12,97,13
17,84,18
16,82,17
15,87,13
13,80,17
10,89,16
19,79,15
17,76,11
23,86,20
10,81,20
12,86,17
14,87,14
17,85,18
9,74,15
18,78,4
10,86,14
12,88,13
18,79,13
12,85,18
9,86,15
8,85,12
19,95,11
10,83,17
15,88,15
17,70,14
13,80,18
12,74,14
14,79,10
19,76,9
14,87,16
11,84,15
15,88,8
8,78,16
8,87,8
15,77,10
7,84,16
8,86,13
15,83,8
8,75,10
9,87,10
13,98,5
9,87,10
13,75,13
20,88,9
14,85,14
17,73,14
16,79,17
10,65,21
25,85,6
13,96,20
5,84,15
21,86,12
13,89,19
11,96,14
9,99,14
10,91,8
10,65,18
9,81,16
13,75,12
11,81,6
9,74,11
12,90,8
15,88,7
10,92,18
9,89,10
9,75,13
7,84,10
8,83,9
11,92,6
11,87,7
10,85,13
14,86,7
20,87,11
18,95,13
15,93,11
14,79,18
20,86,12
8,90,13
10,80,13
15,80,17
7,88,16
10,82,12
25,76,14
11,90,12
10,76,18
6,84,11
8,75,11
9,76,18
13,79,8
9,81,4
17,71,10
11,81,10
10,83,7
23,81,10
16,84,19
14,82,20
17,79,17
17,89,14
17,89,17
11,83,15
7,94,12
13,83,18
12,78,15
17,83,8
12,79,18
13,73,14
6,81,12
9,80,12
9,88,8
19,82,12
7,81,14
11,89,9
13,73,10
14,73,9
15,82,11
11,86,14
10,80,9
7,91,11
11,84,10
6,82,13
12,81,12
9,76,10
13,81,9
14,96,7
21,69,11
20,80,17
16,93,12
8,86,10
19,85,17
12,82,27
19,84,11
15,86,11
14,99,20
12,90,17
18,96,12
20,76,19
27,88,16
14,82,21
10,82,20
9,76,11
11,69,14
9,83,12
12,88,10
10,77,12
12,78,12
9,85,9
13,76,13
11,86,6
14,79,6
19,91,12
13,86,22
10,82,12
13,82,15
15,82,12
14,79,12
13,95,13
10,70,13
9,88,10
11,92,16
15,78,12
13,89,11
10,82,17
12,83,15
19,77,13
17,87,13
18,90,15
10,80,16
17,83,16
19,79,13
12,89,9
18,87,13
11,93,17
12,80,13
14,85,13
17,86,21
23,75,16
21,81,17
13,87,18
18,80,19
23,86,10
11,81,24
19,86,15
9,91,18
13,80,14
9,79,14
12,84,11
14,71,19
11,91,15
15,104,8
9,82,11
11,79,13
12,95,8
13,79,16
13,80,17
18,88,8
12,87,14
10,79,14
14,81,12
10,93,14
6,88,7
11,88,6
9,84,14
14,88,5
7,84,17
15,83,7
23,83,8
11,91,19
11,85,11
14,78,12
12,97,12
8,90,15
15,85,7
11,90,23
19,87,12
16,81,11
6,83,16
12,94,8
11,66,14
14,84,13
16,77,10
10,87,13
19,82,18
8,82,17
8,81,12
8,86,11
15,78,6
9,94,11
10,87,5
12,87,11
13,85,9
12,86,14
14,82,12
22,81,10
11,86,17
21,86,17
15,73,22
11,88,15
21,81,13
15,88,22
12,74,14
17,85,9
21,87,19
11,86,15
12,82,17
12,68,19
18,93,11
12,76,11
15,85,15
9,86,13
17,75,14
12,85,14
16,91,10
8,87,14
25,82,15
12,83,21
14,73,18
18,71,12
15,82,11
6,93,10
10,77,14
12,88,13
12,96,10
14,90,14
10,88,11
14,82,13
14,84,12
12,83,13
10,79,12
9,103,14
10,84,12
13,77,16
15,94,10
13,85,11
14,68,13
10,88,11
8,86,13
10,75,7
14,79,13
11,82,17
12,73,13
11,86,12
13,81,8
18,80,16
11,78,9
20,78,15
13,80,19
12,92,12
10,93,14
9,77,9
13,95,15
9,68,8
17,86,10
17,74,19
18,90,14
11,77,11
14,94,6
15,78,15
12,77,15
10,89,12
21,83,14
27,88,10
16,80,25
12,83,21
10,84,20
21,78,15
14,84,19
11,78,15
10,88,10
6,81,11
19,89,11
12,82,13
12,77,17
16,80,13
10,74,12
13,79,12
7,86,7
12,80,12
16,78,10
25,79,13
16,82,20
14,90,14
23,85,15
10,88,17
7,84,20
11,80,13
23,89,7
6,101,20
13,88,10
18,75,14
14,80,13
14,90,16
9,80,19
16,70,18
12,82,6
14,80,17
19,86,8
17,81,13
16,81,16
14,78,16
22,83,16
18,84,14
14,88,20
19,93,15
23,74,14
13,85,22
14,82,17
12,79,12
13,97,18
13,82,22
17,100,10
16,92,14
14,83,11
21,93,9
12,88,23
14,89,15
19,77,14
13,93,15
25,77,18
11,93,17
18,92,9
16,81,23
18,77,18
15,72,16
15,86,15
19,102,9
18,87,8
25,73,28
19,81,22
21,79,21
18,81,25
12,80,19
13,80,20
19,77,20
14,87,17
13,82,19
9,82,15
12,96,14
25,69,8
9,81,17
17,70,15
10,94,13
18,87,14
19,80,16
10,91,9
17,83,24
15,91,12
