"add","shift","delete"
7,131,3
10,123,12
10,133,13
8,119,13
10,128,8
11,130,15
6,117,6
10,121,8
9,122,8
13,127,10
13,125,11
9,132,11
12,126,9
6,144,8
7,127,12
8,129,8
10,129,5
8,128,13
12,115,10
8,112,8
14,118,8
16,128,9
12,135,12
11,147,10
10,140,13
10,129,14
7,132,7
8,133,12
8,128,14
8,117,12
10,106,10
7,129,8
13,127,8
7,121,8
11,117,11
14,121,7
17,120,13
13,112,12
12,110,10
9,134,12
15,118,7
7,120,18
16,128,11
8,112,13
8,137,9
14,122,11
6,122,13
11,125,8
8,131,11
11,131,12
11,143,6
20,136,11
15,137,15
12,134,11
13,125,12
17,123,8
16,135,18
14,133,18
10,136,10
14,135,6
10,120,14
15,139,25
8,134,11
13,140,10
12,133,11
9,130,15
7,130,12
15,121,10
9,139,9
6,136,11
11,136,12
9,119,8
9,133,12
9,116,7
10,150,8
12,141,10
14,130,15
10,126,10
11,130,4
9,116,8
8,124,11
12,131,17
11,125,11
13,109,11
15,132,8
11,136,14
17,125,18
14,127,6
12,134,18
10,125,15
12,124,11
16,127,10
10,137,9
5,129,17
11,136,8
12,121,11
13,125,11
17,120,10
14,131,12
12,138,12
17,126,11
11,135,14
15,139,14
16,136,12
8,131,19
11,134,12
13,129,16
14,127,11
15,129,11
13,131,8
18,127,16
7,124,18
6,122,12
10,127,9
12,139,9
13,151,9
8,131,14
9,120,17
5,128,10
10,133,13
7,122,6
8,120,8
5,132,9
11,122,7
9,145,3
7,115,8
11,131,5
14,121,11
16,133,13
10,122,12
9,132,9
10,122,15
10,122,10
10,128,10
10,122,11
13,123,7
11,132,14
17,135,13
17,128,10
12,127,15
11,134,13
17,139,13
15,131,13
16,122,14
15,134,17
7,127,17
16,122,11
13,120,16
17,117,7
10,120,15
7,138,13
12,135,7
9,134,13
13,119,14
3,123,12
15,119,7
11,130,10
13,122,10
12,136,9
10,126,11
11,134,11
13,137,14
16,128,8
9,129,14
13,140,14
13,116,17
17,105,12
14,133,11
13,127,13
15,131,16
9,125,10
9,137,11
11,143,10
5,139,17
10,126,16
16,130,9
6,137,9
7,118,10
11,116,11
5,122,10
8,131,5
9,129,8
6,138,8
17,133,6
10,141,8
14,156,8
18,132,13
7,126,16
13,131,14
16,130,12
12,129,12
9,136,8
16,125,12
5,134,13
